時間,作者,標題,連結
2019-08-05 15:28:39,編輯中心,為何昆布在海中不會泡出高湯？水族館秒答兩字　眾人笑翻,https://www.nownews.com/news/20190805/3542824/
2019-08-05 15:26:27,編輯中心／,一審判死！華山分屍案肢解13塊　傳翻供喊「人非我殺！」,https://www.nownews.com/news/20190805/3542806/
2019-08-05 15:20:17,記者翁新涵,多圖／歐陽娜娜居然滿臉「長雀斑」 　狂迷哭哭,https://www.nownews.com/news/20190805/3542885/
2019-08-05 15:08:51,記者陳致宇／台北報導,中國大陸限縮再出招　傳9/1起停發小三通簽證,https://www.nownews.com/news/20190805/3542858/
2019-08-05 15:01:22,文iLOOK電影雜誌,就決定是你了！　《靈異乍現》選角一拍即合,https://www.nownews.com/news/20190805/3531034/
2019-08-05 14:46:32,記者林人芳／台北報導,柯文哲批蔡身邊貪污！黃重諺嗆：有證據就舉報 否則道歉,https://www.nownews.com/news/20190805/3542788/
2019-08-05 14:41:41,記者顏真真／台北報導,貿易戰衝擊　股匯雙殺　台股收盤大跌125點、失守10500點,https://www.nownews.com/news/20190805/3542748/
2019-08-05 14:39:46,大陸中心蔡姍伶,林鄭有如錄音機　王丹：習近平不敢出兵但又不甘心讓步,https://www.nownews.com/news/20190805/3542739/
2019-08-05 14:35:03,記者陳弘志台北報導,第一槍！軍系宣布放下一切是非恩怨　投票支持韓國瑜,https://www.nownews.com/news/20190805/3542728/
2019-08-05 14:30:27,記者臺孝婷,男友家約會不到1分鐘就被咆哮　安妮哭著離開立刻分手,https://www.nownews.com/news/20190805/3542738/
2019-08-05 14:20:04,編輯中心,酷到歪頭！螢光地圖「亮點線條」　建設如血管分佈超驚豔,https://www.nownews.com/news/20190805/3542393/
2019-08-05 14:15:51,記者林人芳／台北報導,馮世寬接退輔會主委！蔡英文盼：讓退役者無後顧之憂,https://www.nownews.com/news/20190805/3542686/
