,評分,日文,英文
0,4.79,日本橋蛎殻町 すぎた,Sugita
1,4.76,松川,Matsukawa
2,4.75,銀座 しのはら,Shinohara
3,4.73,エクアトゥール,Restaurant l'equateur
4,4.70,SUGALABO,SUGALABO
5,4.69,鮨 さいとう,Saito
6,4.68,京味,Kyoaji
7,4.67,フルタ,Furuta
8,4.67,ペレグリーノ,PELLEGRINO
9,4.66,CHIUnE,CHIUnE
10,4.65,カンテサンス,Quintessence
11,4.63,鮨 なんば 日比谷,Sushinamba
12,4.62,ete,été
13,4.61,レフェルヴェソンス,L'Effervescence
14,4.61,長谷川 稔,Hasegawaminoru
15,4.60,鮨 はしぐち,Hashiguchi
16,4.59,初音鮨,Hatsunezushi
17,4.59,東麻布 天本,Amamoto
18,4.58,ボニュ,Bon.nu
19,4.58,たきや,Takiya
20,4.57,井雪,Iyuki
21,4.56,鳥しき,Torishiki
22,4.56,鮨 あらい,Arai
23,4.56,新ばし 星野,Hoshino
24,4.55,かぶと,Kabuto
25,4.54,三谷,Mitani
26,4.54,鮨 尚充,Takamitsu
27,4.54,御料理 宮坂,Miyasaka
28,4.52,ロオジエ,L'OSIER
29,4.52,茶禅華,Sazenka
30,4.52,と村,Tomura
31,4.51,すし 喜邑,Kimura
32,4.51,趙楊,Choyo
33,4.51,くすのき,Kusunoki
34,4.50,まき村,Makimura
35,4.49,ガストロノミー ジョエル・ロブション,Joel Robuchon
36,4.49,日本料理 晴山,SEIZAN
37,4.49,味満ん,Ajiman
38,4.48,エスキス,ESqUISSE
39,4.48,虎白,Kohaku
40,4.47,TACUBO,TACUBO
41,4.47,さわ田,Sawada
42,4.47,紀茂登,Kimoto
43,4.46,すし匠,Sushi Sho
44,4.46,鮨 なんば 阿佐ヶ谷,Namba
45,4.45,豪龍久保,Goryukubo
46,4.44,炭焼 金竜山,Kinryusan
47,4.44,赤坂 詠月,Eigetsu
48,4.43,神楽坂 石かわ,Ishikawa
49,4.43,活鰻の店 つぐみ庵,Tsugumian
50,4.41,虎峰,Koho
51,4.41,鷹匠壽,Takajo Kotobuki
52,4.41,TSU・SHI・MI,TSU・SHI・MI
53,4.40,ラチュレ,LATURE
54,4.40,きよ田,Kiyota
55,4.39,SATOブリアン にごう,SATO Buriand
56,4.39,樋口,Higuchi
57,4.39,肉割烹 上,Nikukappoujou
58,4.39,青空,Harutaka
59,4.38,麻布 幸村,Yukimura
60,4.38,くろぎ,Kurogi
61,4.38,山﨑,Yamasaki
62,4.38,ウェスタ,Vesta
63,4.37,海味,Umi
64,4.37,鮨 はしもと,Hashimoto
65,4.37,味享,Mitaka
66,4.36,麻布十番 ふくだ,Fukuda
67,4.35,アピシウス,APICIUS
68,4.35,NARISAWA,NARISAWA
69,4.32,傳,den
70,4.31,鮨 とかみ,Tokami
71,4.31,レストラン ラ フィネス,Restaurant La FinS
72,4.30,SATOブリアン,SATO Buriand
73,4.30,すし匠 齋藤,Sushi Sho Saito
74,4.30,K+,NISHIAZABU K+
75,4.30,AZUR et MASA UEKI,AZUR et MASA UEKI
76,4.30,鮓 ふじなが,Sushifujinaga
77,4.29,てんぷら 深町,Fukamachi
78,4.29,赤坂 らいもん,Akasakaraimon
79,4.28,鳥さわ22,Torisawa
80,4.28,中華たかせ,CYUKA TAKASE
81,4.27,日本料理 太月,Tagetsu
82,4.27,ひろ作,Hirosaku
83,4.27,鮨 いまむら,Imamura
84,4.27,紀尾井町 三谷,Kioicho Mitani
85,4.27,鮨 鈴木,sushisuzuki
86,4.26,うなぎ 魚政,Uomasa
87,4.26,鮨 たかはし,Sushi Takahashi
88,4.26,いち太,Ichita
89,4.25,ナベノ-イズム,Nabeno-Ism
90,4.25,はっこく,Hakkoku
91,4.25,かわむら,Kawamura
92,4.25,USHIGORO S. GINZA,USHIGORO S
93,4.24,スタミナ苑,Sutaminaen
94,4.24,鮨 ます田,Masuda
95,4.24,グルマンディーズ,Gourmandise
96,4.24,神戸牛炉釜ステーキ GINZA KOKO炉,koubegyuurokamasute-kiginzakokoro
97,4.23,コート ドール,COTE D'OR
98,4.23,神戸牛炉釜炭焼ステーキ IDEA 銀座,IDEA
99,4.22,USHIGORO S. NISHIAZABU,USHIGORO S.
100,4.22,串揚げはやし,Hayashi
101,4.21,シェ・イノ,Chez Inno
102,4.21,新ばし しみづ,Shimizu
103,4.21,ラ ペ,La paix
104,4.21,天ぷら 元吉,Motoyoshi
105,4.21,器楽亭,Kirakutei
106,4.21,はらまさ,Haramasa
107,4.20,レ セゾン,Les Saisons
108,4.20,焼鳥　おみ乃,Omino
109,4.20,喰善 あべ,Shokuzen Abe
110,4.20,天ぷら 蕎楽亭,Kyorakutei
111,4.19,レストラン リューズ,RESTAURANT Ryuzu
112,4.19,蕃 YORONIKU,EBISU YORONIKU
113,4.19,ふぐ 福治,Fukuji
114,4.18,すきやばし 次郎,Sukiyabashi Jiro
115,4.18,おにく 花柳,Oniku Karyu
116,4.18,くろ﨑,Kurosaki
117,4.17,オマージュ,HOMMAGE
118,4.17,鮨 竜介,Ryusuke
119,4.17,新ばし 笹田,Sasada
120,4.17,味ひろ,Ajihiro
121,4.16,炭火焼 ゆうじ,sumibiyakiyuuji
122,4.16,中華そば しば田,chuukasobashibata
123,4.16,北島亭,Kitajimatei
124,4.16,Ata,Ata
125,4.16,焼肉 ジャンボ はなれ,yakinikujambo
126,4.16,炭火焼肉 なかはら,Nakahara
127,4.16,アルシミスト,Les Alchimistes
128,4.16,L'Octave Hayato KOBAYASHI,L'Octave Hayato KOBAYASHI
129,4.15,鳥茂,Torishige
130,4.15,江戸前鮓 すし通,Sushi Tsu
131,4.15,リストランテ 濱崎,RISTORANTE HAMASAKI
132,4.15,レンゲ,Renge
133,4.14,銀座 小十,Kojyu
134,4.14,うを徳,Uwotoku
135,4.14,らんまる,Rammaru
136,4.14,ラ クレリエール,La Clairiere
137,4.14,サトブリDA,Satoburidhie
138,4.13,ふぐ 牧野,Makino
139,4.13,サンプリシテ,Sampurishite
140,4.13,THIERRY MARX salon,thieri-marukususaron
141,4.12,中国飯店 富麗華,FUREIKA
142,4.12,赤坂 菊乃井,Akasaka Kikunoi
143,4.12,la Brianza,La Brianza
144,4.12,ボッテガ,BOTTEGA
145,4.12,もりかわ,Morikawa
146,4.11,フロリレージュ,Florilège
147,4.11,匠 進吾,Takumi Shingo
148,4.11,私厨房 勇,Yung
149,4.11,すきやばし 次郎 六本木ヒルズ店,Sukiyabashi Jiro
150,4.11,4000 Chinese Restaurant,yonsenchaini-zuresutoran
151,4.10,イル テアトリーノ ダ サローネ,IL TEATRINO DA SALONE
152,4.10,茶寮 宮坂,Saryoumiyasaka
153,4.09,Homemade Ramen 麦苗,Homemade Ramen Muginae
154,4.09,とく山,Tokuyama
155,4.09,ARMONICO,ARMONICO
156,4.08,センス,SENSE
157,4.08,ラ・ボンヌターブル,LA BONNE TABLE
158,4.08,パティスリー リョーコ,PÂTISSERIE RYOCO
159,4.08,sincere,Sincere
160,4.08,スリオラ,ZURRIOLA
161,4.08,海鮮名菜　香宮,SHANGU
162,4.08,神楽坂　鉄板焼 中むら,Kakugazakateppanyakinakamura
163,4.07,トマト,Tomato
164,4.07,銀座 鮨 かねさか 本店,Ginza Sushi KANESAKA
165,4.07,レストラン クレッセント,RESTAURANT CRESCENT
166,4.07,鮨 由う,Yu
167,4.07,日本橋 蕎ノ字,nihombashisonoji
168,4.07,南青山 七鳥目,minamiaoyamananachoume
169,4.06,エール,Air
170,4.06,イル プレージョ,Il Pregio
171,4.06,プリズマ,PRISMA
172,4.06,多仁本,Tanimoto
173,4.05,みかわ 是山居,Mikawa Zezankyo
174,4.05,ル・マンジュ・トゥー,Le Mange-Tout
175,4.05,Ode,Ode
176,4.05,すし佐竹,Sushisatake
177,4.05,青華こばやし,Seikakobayashi
178,4.04,ジェラテリア アクオリーナ,GELATERIA ACQUOLINA
179,4.04,ヴィンチェロ,Vincero
180,4.04,ル・ジャルダン・デ・サヴール,Le jardin des saveurs
181,4.04,Crony,Crony
182,4.04,リストランテ ペガソ,RISTORANTE PEGASO
183,4.04,津の守坂 小柴,tsunokamizakakoshiba
184,4.04,銀座ふじやま,Ginzafujiyama
185,4.03,トゥールダルジャン 東京,TOUR D'ARGENT
186,4.03,すし処 宮葉,Miyaba
187,4.03,トロワフレーシュ,TROIS FLECHES
188,4.02,リストランテ ラ・バリック トウキョウ,Ristorante La Barrique Tokyo
189,4.02,レストラン アラジン,Restaurant ALADDIN
190,4.02,ミモザ,Mimosa
191,4.02,AMOUR,AMOUR
192,4.02,GINZA JOTAKI,GINZA JOTAKI
193,4.01,マダム・トキ,Madame Toki
194,4.01,銀座 レカン,L'ecrin
195,4.01,インカント,Incanto
196,4.01,すし家 一柳,Ichiyanagi
197,4.01,赤坂 きた福,Akasaka Kitafuku
198,4.00,ラトリエ ドゥ プレジール,L'atelier de Plaisir
199,4.00,スーツァン・レストラン陳 渋谷店,Sutsunresutoranchin
